product_name,category,review_title,review_text,rating,review_date,verified,full_review,clean_review,vader_score,vader_sentiment,rating_sentiment
Berrykey Hawaiian Shirt,fashion,big size not cotton,Not cotton,1.0,2025-06-19,yes,big size not cotton Not cotton,big size not cotton Not cotton,0.0,neutral,negative
Berrykey Hawaiian Shirt,fashion,Not satisfied,The material is bad.not what I expected,1.0,2025-06-13,yes,Not satisfied The material is bad.not what I expected,Not satisfied The material is bad.not what I expected,-0.3252,negative,negative
Berrykey Hawaiian Shirt,fashion,I like it,It is okay,5.0,2025-05-12,yes,I like it It is okay,I like it It is okay,0.5267,positive,positive
Berrykey Hawaiian Shirt,fashion,I like it,The quality is good. It's worth the price,5.0,2025-04-22,yes,I like it The quality is good. It's worth the price,I like it The quality is good. It's worth the price,0.743,positive,positive
Berrykey Hawaiian Shirt,fashion,good,Good,5.0,2025-01-27,yes,good Good,good Good,0.7003,positive,positive
Berrykey Hawaiian Shirt,fashion,quality of the fabric is poor,The size is extra big for the small size..then use better quality material,2.0,2024-10-03,yes,quality of the fabric is poor The size is extra big for the small size..then use better quality material,quality of the fabric is poor The size is extra big for the small size..then use better quality material,-0.0516,negative,negative
Berrykey Hawaiian Shirt,fashion,"size ,material",Nice and well prepared,5.0,2024-09-17,yes,"size ,material Nice and well prepared","size ,material Nice and well prepared",0.7003,positive,positive
Berrykey Hawaiian Shirt,fashion,Shirt,Good material but take a smaller size,5.0,2024-09-06,yes,Shirt Good material but take a smaller size,Shirt Good material but take a smaller size,0.2382,positive,positive
Berrykey Hawaiian Shirt,fashion,ok,Ok,3.0,2024-08-09,yes,ok Ok,ok Ok,0.5267,positive,neutral
Berrykey Hawaiian Shirt,fashion,shirt,It's nice,5.0,2024-07-22,yes,shirt It's nice,shirt It's nice,0.4215,positive,positive
Sonar stainless steel electric kettle,appliances,Love it,So far so good just as ordered,4.0,2025-06-20,yes,Love it So far so good just as ordered,Love it So far so good just as ordered,0.8508,positive,positive
Sonar stainless steel electric kettle,appliances,worthy,Boils fast,5.0,2025-06-20,yes,worthy Boils fast,worthy Boils fast,0.4404,positive,positive
Sonar stainless steel electric kettle,appliances,Value for your money.,Long cord. Boils fast. No noise. Fast delivery.,5.0,2025-06-19,yes,Value for your money. Long cord. Boils fast. No noise. Fast delivery.,Value for your money. Long cord. Boils fast. No noise. Fast delivery.,0.0516,positive,positive
Sonar stainless steel electric kettle,appliances,kettle,"It's very nice, warms water for just 5 mns and it reaches boiling point",5.0,2025-06-19,yes,"kettle It's very nice, warms water for just 5 mns and it reaches boiling point","kettle It's very nice, warms water for just 5 mns and it reaches boiling point",0.688,positive,positive
Sonar stainless steel electric kettle,appliances,It's awesome,Most affordable electric kettle????????????,4.0,2025-06-19,yes,It's awesome Most affordable electric kettle????????????,It's awesome Most affordable electric kettle????????????,0.7236,positive,positive
Sonar stainless steel electric kettle,appliances,could change,please change the plugs very weak.otherwise o,3.0,2025-06-19,yes,could change please change the plugs very weak.otherwise o,could change please change the plugs very weak.otherwise o,0.3182,positive,neutral
Sonar stainless steel electric kettle,appliances,10/10,Am enjoying it,5.0,2025-06-18,yes,10/10 Am enjoying it,10/10 Am enjoying it,0.5267,positive,positive
Sonar stainless steel electric kettle,appliances,its faster,Faster,5.0,2025-06-18,yes,its faster Faster,its faster Faster,0.0,neutral,positive
Sonar stainless steel electric kettle,appliances,stick it together,Adding the power cord,4.0,2025-06-18,yes,stick it together Adding the power cord,stick it together Adding the power cord,0.0,neutral,positive
Sonar stainless steel electric kettle,appliances,Good,Short time taken,5.0,2025-06-18,yes,Good Short time taken,Good Short time taken,0.4404,positive,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,average,it's okay for the price,3.0,2025-05-05,yes,average it's okay for the price,average it's okay for the price,0.2263,positive,neutral
ASHION Fashion Casual Baseball Sweatshirt,fashion,pooooor,Fake,1.0,2024-12-18,yes,pooooor Fake,pooooor Fake,-0.4767,negative,negative
ASHION Fashion Casual Baseball Sweatshirt,fashion,good quality,Good packaged,5.0,2024-12-11,yes,good quality Good packaged,good quality Good packaged,0.7003,positive,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,I loved it,Its fantastic,5.0,2024-12-09,yes,I loved it Its fantastic,I loved it Its fantastic,0.8176,positive,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,I like it.,Their products met my expectations.,5.0,2024-11-15,yes,I like it. Their products met my expectations.,I like it. Their products met my expectations.,0.3612,positive,positive
Official Trouser Pant,fashion,wrong order,I ordered a black one but didn't get it,3.0,2024-10-30,yes,wrong order I ordered a black one but didn't get it,wrong order I ordered a black one but didn't get it,-0.2617,negative,neutral
Official Trouser Pant,fashion,Trouser pant black slim fit office wear,"Good quality, fitting well a ccording to size selected",5.0,2024-08-13,yes,"Trouser pant black slim fit office wear Good quality, fitting well a ccording to size selected","Trouser pant black slim fit office wear Good quality, fitting well a ccording to size selected",0.7579,positive,positive
Official Trouser Pant,fashion,I love it,Very good item,5.0,2024-08-07,yes,I love it Very good item,I love it Very good item,0.8122,positive,positive
Official Trouser Pant,fashion,nice one,Can feel light if you are not used to these type,5.0,2024-07-08,yes,nice one Can feel light if you are not used to these type,nice one Can feel light if you are not used to these type,0.4215,positive,positive
Official Trouser Pant,fashion,I like it,Was awesome,5.0,2024-05-27,yes,I like it Was awesome,I like it Was awesome,0.765,positive,positive
Official Trouser Pant,fashion,good,Perfect ????????,5.0,2024-05-13,yes,good Perfect ????????,good Perfect ????????,0.8205,positive,positive
Official Trouser Pant,fashion,Trouser,Somehow better,3.0,2024-03-19,yes,Trouser Somehow better,Trouser Somehow better,0.4404,positive,neutral
Official Trouser Pant,fashion,I KINDA LIKED IT,TOO BAGGY BUT GOOD,5.0,2024-03-05,yes,I KINDA LIKED IT TOO BAGGY BUT GOOD,I KINDA LIKED IT TOO BAGGY BUT GOOD,0.6812,positive,positive
Official Trouser Pant,fashion,Not fully satisfied,It's too bulky below the knees. Had to incur other cost. When you say it's fit in let it be so,3.0,2024-02-01,yes,Not fully satisfied It's too bulky below the knees. Had to incur other cost. When you say it's fit in let it be so,Not fully satisfied It's too bulky below the knees. Had to incur other cost. When you say it's fit in let it be so,-0.0126,neutral,neutral
Official Trouser Pant,fashion,sub standard,It's not of quality,1.0,2023-12-18,yes,sub standard It's not of quality,sub standard It's not of quality,0.0,neutral,negative
Elastic Belt Corset,fashion,perfectly,serves it's purpose so well,5.0,2025-02-17,yes,perfectly serves it's purpose so well,perfectly serves it's purpose so well,0.787,positive,positive
Elastic Belt Corset,fashion,not satisfied,"Doesn't fit the whole torso
Divides tummy into two and had lose strap",1.0,2024-12-23,yes,"not satisfied Doesn't fit the whole torso
Divides tummy into two and had lose strap",not satisfied Doesn't fit the whole torso Divides tummy into two and had lose strap,-0.4957,negative,negative
Elastic Belt Corset,fashion,Its good,Can't complain,5.0,2024-12-13,yes,Its good Can't complain,Its good Can't complain,0.6136,positive,positive
Elastic Belt Corset,fashion,Like it,Like ????,4.0,2024-12-02,yes,Like it Like ????,Like it Like ????,0.7149,positive,positive
Elastic Belt Corset,fashion,Very Comfortable,It's comfortable while wearing while going out,3.0,2024-11-15,yes,Very Comfortable It's comfortable while wearing while going out,Very Comfortable It's comfortable while wearing while going out,0.7996,positive,neutral
Elastic Belt Corset,fashion,Belt,Perfect,5.0,2024-11-12,yes,Belt Perfect,Belt Perfect,0.5719,positive,positive
Elastic Belt Corset,fashion,quality,Its a nice product,4.0,2024-11-08,yes,quality Its a nice product,quality Its a nice product,0.4215,positive,positive
Elastic Belt Corset,fashion,good,It's okayy,4.0,2024-09-10,yes,good It's okayy,good It's okayy,0.4404,positive,positive
Elastic Belt Corset,fashion,I like it,Perfect,5.0,2024-09-09,yes,I like it Perfect,I like it Perfect,0.7351,positive,positive
Elastic Belt Corset,fashion,Great,good quality,5.0,2024-08-14,yes,Great good quality,Great good quality,0.7906,positive,positive
Machislet Bodycon Dress Shift,fashion,unique and stretchy,Unique and stretchy,5.0,2025-06-19,yes,unique and stretchy Unique and stretchy,unique and stretchy Unique and stretchy,0.0,neutral,positive
Machislet Bodycon Dress Shift,fashion,dress,The best I recommend it,4.0,2025-06-09,yes,dress The best I recommend it,dress The best I recommend it,0.7717,positive,positive
Machislet Bodycon Dress Shift,fashion,material,"The material is good,, stretches well.
I love it.... Packaging on fleek.. delivery was faster..",5.0,2025-05-27,yes,"material The material is good,, stretches well.
I love it.... Packaging on fleek.. delivery was faster..","material The material is good,, stretches well. I love it.... Packaging on fleek.. delivery was faster..",0.743,positive,positive
Machislet Bodycon Dress Shift,fashion,lovely dresss,Love love,4.0,2025-05-19,yes,lovely dresss Love love,lovely dresss Love love,0.9217,positive,positive
Machislet Bodycon Dress Shift,fashion,I like it,Fits so well..just advertised,4.0,2025-05-05,yes,I like it Fits so well..just advertised,I like it Fits so well..just advertised,0.3612,positive,positive
Machislet Bodycon Dress Shift,fashion,good,Great material,4.0,2025-05-02,yes,good Great material,good Great material,0.7906,positive,positive
Machislet Bodycon Dress Shift,fashion,good dress . she liked it,Nice,4.0,2025-04-28,yes,good dress . she liked it Nice,good dress . she liked it Nice,0.8176,positive,positive
Machislet Bodycon Dress Shift,fashion,review,The design,5.0,2025-04-24,yes,review The design,review The design,0.0,neutral,positive
Machislet Bodycon Dress Shift,fashion,Nice,Exactly as it is on the picture,5.0,2025-03-17,yes,Nice Exactly as it is on the picture,Nice Exactly as it is on the picture,0.4215,positive,positive
Machislet Bodycon Dress Shift,fashion,Great dress,Good quality,5.0,2025-03-03,yes,Great dress Good quality,Great dress Good quality,0.7906,positive,positive
High Waist Jeans Body Shape,fashion,High Waist jeans Body Shape,Exact what I ordered,4.0,2025-01-31,yes,High Waist jeans Body Shape Exact what I ordered,High Waist jeans Body Shape Exact what I ordered,0.0,neutral,positive
