product_name,category,review_title,review_text,rating,review_date,verified,review_length,sentiment,rating_sentiment
Berrykey Hawaiian Shirt,fashion,not satisfied,the material is bad.not what i expected,1.0,2025-06-13,yes,7,neutral,negative
Berrykey Hawaiian Shirt,fashion,i like it,the quality is good. it's worth the price,5.0,2025-04-22,yes,8,positive,positive
Berrykey Hawaiian Shirt,fashion,quality of the fabric is poor,the size is extra big for the small size..then use better quality material,2.0,2024-10-03,yes,13,neutral,negative
Berrykey Hawaiian Shirt,fashion,"size ,material",nice and well prepared,5.0,2024-09-17,yes,4,positive,positive
Berrykey Hawaiian Shirt,fashion,shirt,good material but take a smaller size,5.0,2024-09-06,yes,7,positive,positive
Sonar stainless steel electric kettle,appliances,love it,so far so good just as ordered,4.0,2025-06-20,yes,7,positive,positive
Sonar stainless steel electric kettle,appliances,value for your money.,long cord. boils fast. no noise. fast delivery.,5.0,2025-06-19,yes,8,positive,positive
Sonar stainless steel electric kettle,appliances,kettle,"it's very nice, warms water for just 5 mns and it reaches boiling point",5.0,2025-06-19,yes,14,positive,positive
Sonar stainless steel electric kettle,appliances,it's awesome,most affordable electric kettle????????????,4.0,2025-06-19,yes,4,positive,positive
Sonar stainless steel electric kettle,appliances,could change,please change the plugs very weak.otherwise o,3.0,2025-06-19,yes,7,positive,neutral
Sonar stainless steel electric kettle,appliances,10/10,am enjoying it,5.0,2025-06-18,yes,3,positive,positive
Sonar stainless steel electric kettle,appliances,stick it together,adding the power cord,4.0,2025-06-18,yes,4,neutral,positive
Sonar stainless steel electric kettle,appliances,good,short time taken,5.0,2025-06-18,yes,3,neutral,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,average,it's okay for the price,3.0,2025-05-05,yes,5,positive,neutral
ASHION Fashion Casual Baseball Sweatshirt,fashion,good quality,good packaged,5.0,2024-12-11,yes,2,positive,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,i loved it,its fantastic,5.0,2024-12-09,yes,2,positive,positive
ASHION Fashion Casual Baseball Sweatshirt,fashion,i like it.,their products met my expectations.,5.0,2024-11-15,yes,5,neutral,positive
Official Trouser Pant,fashion,wrong order,i ordered a black one but didn't get it,3.0,2024-10-30,yes,9,negative,neutral
Official Trouser Pant,fashion,trouser pant black slim fit office wear,"good quality, fitting well a ccording to size selected",5.0,2024-08-13,yes,9,positive,positive
Official Trouser Pant,fashion,i love it,very good item,5.0,2024-08-07,yes,3,positive,positive
Official Trouser Pant,fashion,nice one,can feel light if you are not used to these type,5.0,2024-07-08,yes,11,positive,positive
Official Trouser Pant,fashion,i like it,was awesome,5.0,2024-05-27,yes,2,positive,positive
Official Trouser Pant,fashion,good,perfect ????????,5.0,2024-05-13,yes,2,positive,positive
Official Trouser Pant,fashion,trouser,somehow better,3.0,2024-03-19,yes,2,positive,neutral
Official Trouser Pant,fashion,i kinda liked it,too baggy but good,5.0,2024-03-05,yes,4,positive,positive
Official Trouser Pant,fashion,not fully satisfied,it's too bulky below the knees. had to incur other cost. when you say it's fit in let it be so,3.0,2024-02-01,yes,21,positive,neutral
Official Trouser Pant,fashion,sub standard,it's not of quality,1.0,2023-12-18,yes,4,neutral,negative
Elastic Belt Corset,fashion,perfectly,serves it's purpose so well,5.0,2025-02-17,yes,5,neutral,positive
Elastic Belt Corset,fashion,not satisfied,"doesn't fit the whole torso
divides tummy into two and had lose strap",1.0,2024-12-23,yes,13,positive,negative
Elastic Belt Corset,fashion,its good,can't complain,5.0,2024-12-13,yes,2,neutral,positive
Elastic Belt Corset,fashion,very comfortable,it's comfortable while wearing while going out,3.0,2024-11-15,yes,7,positive,neutral
Elastic Belt Corset,fashion,quality,its a nice product,4.0,2024-11-08,yes,4,positive,positive
Elastic Belt Corset,fashion,great,good quality,5.0,2024-08-14,yes,2,positive,positive
Machislet Bodycon Dress Shift,fashion,unique and stretchy,unique and stretchy,5.0,2025-06-19,yes,3,positive,positive
Machislet Bodycon Dress Shift,fashion,dress,the best i recommend it,4.0,2025-06-09,yes,5,positive,positive
Machislet Bodycon Dress Shift,fashion,material,"the material is good,, stretches well.
i love it.... packaging on fleek.. delivery was faster..",5.0,2025-05-27,yes,15,positive,positive
Machislet Bodycon Dress Shift,fashion,i like it,fits so well..just advertised,4.0,2025-05-05,yes,4,neutral,positive
Machislet Bodycon Dress Shift,fashion,good,great material,4.0,2025-05-02,yes,2,positive,positive
Machislet Bodycon Dress Shift,fashion,nice,exactly as it is on the picture,5.0,2025-03-17,yes,7,positive,positive
Machislet Bodycon Dress Shift,fashion,great dress,good quality,5.0,2025-03-03,yes,2,positive,positive
High Waist Jeans Body Shape,fashion,high waist jeans body shape,exact what i ordered,4.0,2025-01-31,yes,4,positive,positive
High Waist Jeans Body Shape,fashion,supper n exactly what i ordered for,just what i wanted,5.0,2022-08-11,yes,4,neutral,positive
High Waist Jeans Body Shape,fashion,they’re ok,they’re good.,4.0,2022-05-11,yes,2,positive,positive
High Waist Jeans Body Shape,fashion,place to be,jumia is the best place you can buy anything  you  want,5.0,2021-12-14,yes,11,positive,positive
Seamless Shapewear Bodysuit,fashion,bodysuit,it doesn't work it's just like a vest????,2.0,2025-04-22,yes,8,neutral,negative
Seamless Shapewear Bodysuit,fashion,doesnt hold,"too loose, doesn't hold anything",3.0,2024-12-23,yes,5,neutral,neutral
Seamless Shapewear Bodysuit,fashion,not the best,don't like material,1.0,2024-12-02,yes,3,neutral,negative
Seamless Shapewear Bodysuit,fashion,amazing,very nice and comfortable,5.0,2024-11-15,yes,4,positive,positive
Seamless Shapewear Bodysuit,fashion,review,it losses elasticity so quick,3.0,2024-11-08,yes,5,positive,neutral
Mateamoda Women Shoes Sandals Heels,fashion,ilike them they are beautiful,i can send my pic wearing them,1.0,2025-06-16,yes,7,neutral,negative
Mateamoda Women Shoes Sandals Heels,fashion,i don't like it,fragile making,2.0,2025-06-12,yes,2,neutral,negative
Mateamoda Women Shoes Sandals Heels,fashion,i like it but,"if you have to buy these heels, kindly take a size bigger because the heel is a smaller fitting.",5.0,2025-05-07,yes,19,positive,positive
Mateamoda Women Shoes Sandals Heels,fashion,good,they are as the picture,5.0,2025-05-05,yes,5,neutral,positive
Mateamoda Women Shoes Sandals Heels,fashion,classy,they are of good quality,5.0,2025-04-22,yes,5,positive,positive
Mateamoda Women Shoes Sandals Heels,fashion,goodvone,"its best, what you order is what you get",5.0,2025-04-11,yes,9,positive,positive
Mateamoda Women Shoes Sandals Heels,fashion,i love it,good quality,5.0,2025-04-04,yes,2,positive,positive
Mateamoda Women Shoes Sandals Heels,fashion,absolutely perfect,exactly what i expected,5.0,2025-03-28,yes,4,neutral,positive
Mateamoda Women Shoes Sandals Heels,fashion,nice product,product was delivered perfectly just what i expected,5.0,2025-03-27,yes,8,positive,positive
Mateamoda Women Shoes Sandals Heels,fashion,ladies sandals,i got exactly what i anticipated while ordering them,5.0,2025-02-20,yes,9,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,real,"shouting ,so amazing",5.0,2025-06-16,yes,3,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,material,comfortable,5.0,2025-05-21,yes,1,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,torn out day one,torn out day one,2.0,2025-05-19,yes,4,neutral,negative
ALagzi 2025 Mens Casual High-Top Shoes,fashion,nice one ever,best quality,5.0,2025-05-16,yes,2,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,i love it,the best boots designed for all wether,5.0,2025-04-22,yes,7,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,sneakers best,the color and the final product is just amazing,5.0,2025-04-16,yes,9,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,yes,better but low quantity product,3.0,2025-03-25,yes,5,positive,neutral
VON VRT-195DRHS Double Door Direct Cool,appliances,it’s silent you can’t tell if it’s on,fitted perfectly in my kitchen,5.0,2025-06-17,yes,5,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,von-vrr-195rhs,"so far working fine, no trouble. it has some noise that's non-uniform from the freezer compartment, but i am still using it, i am not sure if that is something to worry about in the long run.",5.0,2025-06-16,yes,37,neutral,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,von is it!,i actually love it. has zero noise. delivery was so in time (mind you im in kakamega). its worth every penny of your savings!,5.0,2025-06-09,yes,24,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,amazing product,the best and no noise and so spacious and i love the colour,5.0,2025-06-09,yes,13,positive,positive
