product_name,category,review_title,review_text,rating,review_date,verified
Berrykey Hawaiian Shirt,fashion,big size not cotton,Not cotton,1,19-06-2025,Verified Purchase
Berrykey Hawaiian Shirt,fashion,Not satisfied,The material is bad.not what I expected,1,13-06-2025,Verified Purchase
Berrykey Hawaiian Shirt,fashion,I like it,It is okay,5,12-05-2025,Verified Purchase
Berrykey Hawaiian Shirt,fashion,I like it,The quality is good. It's worth the price,5,22-04-2025,Verified Purchase
Berrykey Hawaiian Shirt,fashion,good,Good,5,27-01-2025,Verified Purchase
Berrykey Hawaiian Shirt,fashion,quality of the fabric is poor,The size is extra big for the small size..then use better quality material,2,03-10-2024,Verified Purchase
Berrykey Hawaiian Shirt,fashion,"size ,material",Nice and well prepared,5,17-09-2024,Verified Purchase
Berrykey Hawaiian Shirt,fashion,Shirt,Good material but take a smaller size,5,06-09-2024,Verified Purchase
Berrykey Hawaiian Shirt,fashion,ok,Ok,3,09-08-2024,Verified Purchase
Berrykey Hawaiian Shirt,fashion,shirt,It's nice,5,22-07-2024,Verified Purchase
Sonar stainless steel electric kettle,appliances,Love it,So far so good just as ordered,4,20-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,worthy,Boils fast,5,20-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,Value for your money.,Long cord. Boils fast. No noise. Fast delivery.,5,19-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,kettle,"It's very nice, warms water for just 5 mns and it reaches boiling point",5,19-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,It's awesome,Most affordable electric kettle????????????,4,19-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,could change,please change the plugs very weak.otherwise o,3,19-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,10/10,Am enjoying it,5,18-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,its faster,Faster,5,18-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,stick it together,Adding the power cord,4,18-06-2025,Verified Purchase
Sonar stainless steel electric kettle,appliances,Good,Short time taken,5,18-06-2025,Verified Purchase
ASHION Fashion Casual Baseball Sweatshirt,fashion,average,it's okay for the price,3,05-05-2025,Verified Purchase
ASHION Fashion Casual Baseball Sweatshirt,fashion,pooooor,Fake,1,18-12-2024,Verified Purchase
